Frequence Fondamentale (Hz),Amplitude Maximale
1994.5534041224237,5280298.314120812
2002.1486570893194,5274047.591159724
2001.1492816989382,5304286.59601967
1997.3516552154904,5353042.176762916
1994.5534041224237,5349059.898599543
1995.5527795128046,5274770.873005915
1997.3516552154904,5318811.914323542
2005.746408494691,5271781.631824644
1999.1505309181764,5312912.3158838125
2004.1474078700815,5364707.230367241
2001.948782011243,5250962.715527067
1998.7507807620239,5287637.015410296
1995.5527795128046,5258122.485030371
1999.1505309181764,5311089.132415169
2007.3454091193005,5274753.496906059
1997.1517801374143,5262698.762382126
1993.3541536539665,5189230.152387459
1998.9506558401001,5311497.564843214
1999.950031230481,5268216.398767421
1999.3504059962524,5306655.590518311
1998.5509056839478,5370104.135473559
2010.5434103685197,5242152.593915203
1999.1505309181764,5328317.873613115
1996.5521549031857,5275771.112633516
1997.951280449719,5349375.763223339
1996.1524047470332,5296263.705996164
1996.7520299812618,5381646.692030022
1991.5552779512807,5266931.643273714
1998.3510306058715,5293500.52498505
1996.1524047470332,5257064.258228753
1994.953154278576,5262770.18797723
2000.1499063085573,5263072.783631324
1998.9506558401001,5283973.178005211
2008.9444097439102,5264717.668350635
2004.3472829481575,5295944.620159864
1998.3510306058715,5266639.3350950405
1991.5552779512807,5303454.870994927
2003.3479075577766,5317541.571295077
1998.7507807620239,5399316.944235624
2000.749531542786,5323527.259008546
2000.9494066208622,5288472.475136244
2000.749531542786,5294127.075592485
2002.1486570893194,5348797.306575611
2002.948157401624,5275752.818236086
1996.7520299812618,5288405.198466215
2001.7489069331668,5285528.300131045
1998.7507807620239,5319299.206928962
2002.5484072454717,5266179.305369622
2004.74703310431,5327042.071358537
2003.3479075577766,5350482.807439201
2003.747657713929,5265408.900391478
1999.5502810743287,5432742.00877224
1995.1530293566523,5327465.697833019
1996.3522798251095,5286923.551695405
2010.3435352904437,5371901.971478013
1995.7526545908809,5314483.078943193
2001.1492816989382,5292913.093442693
2001.948782011243,5276027.392287835
2003.9475327920052,5385118.754635459
2002.748282323548,5267697.163758302
1997.3516552154904,5327602.890553825
1995.5527795128046,5329451.079479431
1995.3529044347285,5280382.526914696
1990.5559025608995,5300123.544671776
1999.950031230481,5318259.133513389
1991.1555277951281,5287451.208533981
1992.1549031855093,5167845.228830837
2002.948157401624,5294022.320537285
1998.1511555277953,5338263.424082557
1998.5509056839478,5301085.312072956
2007.5452841973768,5313900.536271532
2002.5484072454717,5367923.03388833
2001.3491567770145,5313409.20877915
2000.5496564647096,5369318.561268614
1999.1505309181764,5311103.90919014
2005.3466583385386,5354100.241753681
2000.3497813866336,5297438.688876801
2000.1499063085573,5344391.966885476
2003.5477826358529,5336834.763405618
1999.1505309181764,5290171.329295923
1994.7532792005,5281520.06001712
2004.1474078700815,5240040.543001852
2008.1449094316054,5246477.434491
1998.3510306058715,5364689.017401521
2008.744534665834,5371062.770091694
1999.3504059962524,5281955.693719368
2001.3491567770145,5413596.402347747
1993.953778888195,5318871.423286177
2009.3441599000626,5275549.481001882
2008.744534665834,5281877.644170586
1996.1524047470332,5274692.902532274
1999.5502810743287,5288331.666360686
1999.5502810743287,5394391.905813519
1992.954403497814,5318609.229084359
1997.3516552154904,5238715.897963022
2009.3441599000626,5350421.740692294
1999.750156152405,5323328.843045023
1999.750156152405,5361765.989291503
1998.9506558401001,5379494.834607187
1995.5527795128046,5273387.264973639
1999.1505309181764,5299764.792777734
2000.3497813866336,5373421.4810667895
1994.7532792005,5320566.025490141
1999.1505309181764,5351192.301905322
2000.5496564647096,5248207.248044584
2001.5490318550908,5426415.4177758675
1992.1549031855093,5281756.072157171
2009.1442848219865,5224970.783491285
2003.747657713929,5358910.7843264
2001.948782011243,5225028.658790532
2001.948782011243,5301836.7298003975
1996.951905059338,5246889.096919293
2001.3491567770145,5306069.361359353
1993.953778888195,5249637.623659427
1994.3535290443474,5325815.058333988
1997.1517801374143,5306575.011027774
1997.751405371643,5327024.18958125
2006.745783885072,5264027.353293574
2002.5484072454717,5347751.307714155
1998.7507807620239,5296178.572752614
2006.9456589631482,5423358.140372546
2000.5496564647096,5327497.618472782
1997.951280449719,5342484.331655007
2003.1480324797003,5356565.415802901
2002.5484072454717,5372693.333874659
1998.5509056839478,5298998.89236021
1995.1530293566523,5258804.257752963
2004.5471580262338,5308749.680332976
2002.3485321673954,5352032.131851781
2003.1480324797003,5350542.932563614
2007.3454091193005,5299239.55547962
2003.9475327920052,5273263.739591106
1995.7526545908809,5332906.184095507
1998.1511555277953,5321181.410735957
2002.748282323548,5351108.002141795
1999.750156152405,5291305.064500912
2001.1492816989382,5316665.839760483
