Frequence Fondamentale (Hz),Amplitude Maximale
2019.9375390381012,5317120.529784305
2011.9425359150532,5384266.691705317
2012.1424109931295,5369967.268332528
2011.9425359150532,5339700.276244404
2005.1467832604624,5302279.282691815
2019.1380387257966,5403115.271851756
2010.9431605246723,5365375.919813724
2008.3447845096816,5321325.713085276
2011.1430356027483,5365972.733688811
2014.9406620861962,5370722.262890061
2016.3397876327297,5325756.8139684955
2005.746408494691,5364595.1060643
2003.9475327920052,5374330.702852167
2004.74703310431,5416656.25700746
2013.541536539663,5375247.072590401
2015.3404122423487,5369785.001906016
2008.3447845096816,5377615.242811753
2014.9406620861962,5325879.730880847
2016.9394128669583,5293130.983062838
2014.7407870081202,5304719.622090432
2015.1405371642725,5363693.210402428
2013.741411617739,5356028.281440641
2021.7364147407873,5348566.346971424
2007.745159275453,5372561.44694668
2011.9425359150532,5325935.897849292
2013.541536539663,5313713.720355839
2009.5440349781388,5384707.215486909
2008.744534665834,5371345.684562223
2009.9437851342911,5317373.931423457
2008.3447845096816,5320513.707754623
2011.9425359150532,5315731.877648724
2014.9406620861962,5336611.055056701
2010.3435352904437,5353377.5933359815
2008.9444097439102,5345492.5527420165
2015.1405371642725,5307868.840746172
2011.542785758901,5337650.447985125
2016.1399125546534,5347286.786398571
2017.7389131792631,5327722.988711992
2007.5452841973768,5327904.890138657
2007.745159275453,5386928.407369732
2013.1417863835104,5347976.323773394
2016.539662710806,5302669.496337157
2016.3397876327297,5311915.054203405
2011.1430356027483,5289364.589784553
2009.3441599000626,5375005.554254378
2020.5371642723298,5304526.492331454
2012.5421611492818,5373083.852046391
2015.740162398501,5374782.713692622
2012.9419113054344,5380373.589841675
2011.1430356027483,5365643.762018092
2014.1411617738916,5363187.615411162
2010.1436602123674,5363319.167637567
2022.7357901311682,5340884.837762082
2008.544659587758,5372920.574422416
2005.9462835727672,5336043.171807344
2005.9462835727672,5350338.379666195
2014.7407870081202,5394200.000212271
2006.1461586508433,5354389.6874756655
2015.740162398501,5296940.778440619
2014.1411617738916,5349881.096546264
2014.7407870081202,5340312.223425225
2014.7407870081202,5341449.796998629
2015.1405371642725,5351124.442823597
2009.3441599000626,5354515.469438529
2010.1436602123674,5344078.357249243
2010.5434103685197,5330918.4793361
2015.9400374765773,5379073.390680907
2021.3366645846347,5352369.6946331905
2018.3385384134917,5350298.693791095
2017.3391630231108,5343424.320411382
2007.3454091193005,5356697.951699224
2008.3447845096816,5323018.921138428
2003.747657713929,5271812.086922464
2002.948157401624,5314825.928318259
2012.1424109931295,5391548.154144523
2009.1442848219865,5340747.754684995
2017.1392879450345,5321993.750211955
2010.3435352904437,5345998.698556097
2007.5452841973768,5340302.228757629
2008.1449094316054,5294781.771527944
2013.3416614615867,5343690.336122374
2009.743910056215,5384191.342400066
2013.741411617739,5370638.677354017
2010.5434103685197,5323950.385776665
2013.741411617739,5309825.923779017
2014.7407870081202,5362149.8169597145
2010.3435352904437,5383511.355772529
2014.5409119300439,5293613.435019285
2010.5434103685197,5340077.844514708
2020.5371642723298,5340654.77223321
2009.3441599000626,5297589.739709493
2016.3397876327297,5380086.414075537
2012.5421611492818,5298064.659881443
2018.1386633354155,5370653.260354845
2013.541536539663,5345192.296281882
2010.5434103685197,5336572.702833672
2020.9369144284824,5321192.080314884
2006.1461586508433,5338823.544010935
2014.5409119300439,5355405.635094524
2003.1480324797003,5350110.999604155
2013.1417863835104,5337981.126250288
2010.9431605246723,5340881.122033759
2018.9381636477203,5351581.057302314
